Timestamp,STG Gross Power (MW),HP Steam Inlet Flow (KPPH),HP Steam Inlet Pressure (PSIA),HP Steam Inlet Temperature (DEGF),LP Steam Inlet Flow (KPPH),LP Steam Inlet Pressure (PSIA),LP Steam Admin Temperature (DEGF),LP Steam Exhaust Pressure (PSIA),HP Flow Function,HP Isentropic Efficiency (%),LP Flow Function,LP Isentropic Efficiency (%)
2016-01-06,162.64177,1137.9443,928.6108,930.2591,298.705,86.85593,440.79297,1.3967271,34357.633,92.191414,78631.55,67.56836
2016-01-07,163.97404,1127.6,919.5336,930.29364,295.9545,86.07951,439.45508,1.3094369,34392.805,92.28029,78535.31,69.16767
2016-01-08,165.00984,1136.0055,926.64966,929.8821,298.69803,86.76224,441.10645,1.343675,34367.926,92.22595,78730.24,69.253235
2016-01-20,122.64127,1134.736,924.77814,930.1667,298.81067,86.64759,437.3086,1.7231044,34405.344,92.392685,78679.92,36.126484
2016-01-21,163.71556,1147.3202,934.31836,926.7763,304.9738,87.6933,442.3324,1.4092721,34370.266,92.28482,79579.805,67.351425
2016-01-22,170.15215,1185.8516,963.2319,922.46576,322.30078,90.93368,446.8127,1.3934897,34358.816,92.33497,81261.39,67.50944
2016-01-23,161.65514,1109.2589,906.26697,931.15515,288.1583,84.760544,437.23383,1.238607,34353.49,92.35408,77585.05,69.007256
2016-01-25,165.32129,1142.3043,930.6441,927.1155,302.42502,87.20033,441.3316,1.3831002,34363.727,92.26136,79314.29,69.115036
2016-01-26,164.36884,1127.513,920.93726,930.7868,294.05197,86.110374,439.3039,1.3189203,34341.78,92.29029,78010.53,69.63559
2016-01-27,164.92528,1132.3708,924.4932,929.6637,296.47568,86.464775,439.75143,1.3328468,34336.78,92.24483,78350.44,69.63877
2016-01-28,163.59375,1122.367,916.8105,929.4696,293.81793,85.874985,438.978,1.2930477,34323.492,92.32996,78151.836,69.42413
2016-01-29,162.41068,1119.1875,913.6244,927.62933,294.85596,85.78055,439.22427,1.3430007,34321.1,92.358345,78527.04,69.35848
2016-01-30,164.06308,1128.1624,921.0863,928.75726,296.59943,86.25477,439.89728,1.3324467,34325.48,92.300186,78585.04,69.43482
2016-01-31,162.96957,1119.3234,915.87836,932.554,290.46033,85.51818,438.3836,1.3243474,34311.758,92.245316,77549.164,69.590034
2016-02-01,162.05469,1112.0508,911.5768,935.83826,285.5017,84.920616,437.11276,1.3252801,34303.5,92.21856,76712.71,69.75603
2016-02-02,163.72063,1124.558,920.78107,934.76434,289.64166,85.65849,438.50113,1.3325363,34317.637,92.1109,77216.43,69.625336
2016-02-03,160.6,1110.1794,911.5963,939.0136,282.31653,84.69313,436.36862,1.4407319,34292.523,92.153145,76031.0,69.81736
2016-02-04,163.17519,1119.74,916.889,934.85455,288.02197,85.39393,437.69824,1.3322222,34320.85,92.15242,76984.43,69.808815
2016-02-05,165.58728,1133.6338,925.9831,929.5088,296.7889,86.516525,439.85193,1.2946467,34315.8,92.17465,78391.086,69.69059
2016-02-08,88.12821,709.43445,624.3494,926.9371,190.7727,58.2037,411.4802,1.1432942,33187.617,92.368546,73927.336,51.475273
2016-02-09,87.13326,712.37976,629.28595,926.03235,194.15813,58.731556,413.47717,1.1551657,33073.285,92.48709,74662.96,49.513985
2016-02-11,108.14117,720.87024,641.1088,922.5608,198.69722,59.828255,412.16623,1.2744048,32760.602,92.637924,74932.41,78.10337
